placename,alma_id,title,date,start_year,end_year,ie_id,image_id
Forest Hill,9917360673607636,"Entrance to farm, Forest Hill, Melbourne [picture] / A. G. Jones P.V. S. C.",1894 Mar. 26.,1894,1894,IE1383309,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1383309:FL20896993.jpg
Forest Hill,9917359073607636,Farm at Forest Hill. Melbourne. March 21st 1894 [art original] / A. G. Jones P.V.S.C.,1894 Mar. 21.,1894,1894,IE1272609,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1272609:FL20897113.jpg
Forrest,9939649228307636,Forrest,[ca. 1930 - ca. 1940],1930,1940,IE5704956,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE5704956:FL21110522.jpg
Forrest,9939648630407636,Forrest,[ca. 1930 - ca. 1940],1930,1940,IE1887105,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1887105:FL21111044.jpg
Foster,9939664836107636,Foster from Kaffir's Hill Vic.,[ca. 1880 - ca. 1910],1880,1910,IE1437224,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1437224:FL20760283.jpg
Foster,9939663085907636,Foster from Kaffir's Hill Vic.,[ca. 1880 - ca. 1910],1880,1910,IE1302832,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1302832:FL20761120.jpg
Foster,9939657518307636,"Views of Foster, Victoria",[ca. 1880 - ca. 1910],1880,1910,IE1514894,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1514894:FL20763305.jpg
Foster,9939657343007636,"Views of Foster, Victoria",[ca. 1880 - ca. 1910],1880,1910,IE1383367,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1383367:FL20762963.jpg
Foster,9939656867907636,"Views of Foster, Victoria",[ca. 1880 - ca. 1910],1880,1910,IE1385059,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1385059:FL20760871.jpg
Foster,9939655044907636,"Foster, Vic.?",[ca. 1880 - ca. 1910],1880,1910,IE1362414,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1362414:FL20762160.jpg
Foster,9939654972207636,Foster from Kaffir's Hill Vic.,[ca. 1880 - ca. 1910],1880,1910,IE1390541,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1390541:FL20760655.jpg
Foster,9939654906407636,"Foster, Vic.?",[ca. 1880 - ca. 1910],1880,1910,IE1379479,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1379479:FL20761719.jpg
Foster,9939652627407636,"Foster, Vic.?",[ca. 1880 - ca. 1910],1880,1910,IE1393942,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1393942:FL20761287.jpg
Foster,9939652143407636,"Views of Foster, Victoria",[ca. 1880 - ca. 1910],1880,1910,IE1315197,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1315197:FL20761437.jpg
Foster,9939651966007636,Foster from Kaffir's Hill Vic.,[ca. 1880 - ca. 1910],1880,1910,IE1287113,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1287113:FL20760697.jpg
Foster,9939650100707636,"Foster, Vic.?",[ca. 1880 - ca. 1910],1880,1910,IE1437096,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1437096:FL20759887.jpg
Foster,9918029473607636,Foster [Vic.] looking South [picture].,[ca. 1880 - ca. 1910],1880,1910,IE1418592,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1418592:FL20760757.jpg
Foster,9918029223607636,[Old man with children in garden] [Vic.] [picture].,[ca. 1880 - ca. 1910],1880,1910,IE1384983,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1384983:FL20760831.jpg
Foster,9918028933607636,"[Looking across unmade road towards line of houses, Foster, Vic.?] [picture].",[ca. 1880 - ca. 1910],1880,1910,IE1280096,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1280096:FL20759893.jpg
Foster,9917978813607636,"Foster - from the north, 1907 [Vic.] [picture].",1907.,1907,1907,IE1446808,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1446808:FL21001042.jpg
Foster,9939658584107636,"Stockyard Creek, view destroyed Foster, Vic.",[ca. 1880 - ca. 1910],1880,1910,IE1384717,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1384717:FL20760145.jpg
Foster,9939655260407636,"Stockyard Creek, view destroyed Foster, Vic.",[ca. 1880 - ca. 1910],1880,1910,IE1456118,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1456118:FL20759204.jpg
Foster,9939650309407636,"Stockyard Creek, view destroyed Foster, Vic.",[ca. 1880 - ca. 1910],1880,1910,IE1418589,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1418589:FL20760715.jpg
