mms,title,lds19,publisher,format,genre,lds03,trove_note,trove_url,place_x,placename,place_y,corrected,possible,placename_corrected,placename_upper,State,Municipality,Name Id,Place Name,Place Name Status,Feature Type Code,Feature Type,Longitude,Latitude,Place Id,feature_order
9940656140907636,Lilydale Star Mail.,2021-,Healesville Vic. : Paul Thomas for Star News Group Pty Ltd,"1 online resource : colour illustrations, colour portraits | text file PDF",Newspapers,Australia--Victoria--Healesville | Australia--Victoria--Lilydale | Australia--Victoria--Mooroolbark | Australia--Victoria--Kilsyth | Australia--Victoria--Chirnside Park,National edeposit: Onsite at State Library Victoria,https://nla.gov.au/nla.obj-3197996265,Australia--Victoria--Chirnside Park,Chirnside Park,,,,Chirnside Park,CHIRNSIDE PARK,VIC,YARRA RANGES SHIRE,100747.0,CHIRNSIDE PARK,REGISTERED,LOCB,LOCALITY,145.314844,-37.7397774,100733.0,1.0
9938781833607636,Local paper (Northern edition) | The local paper.,2020-,"Research, Vic : Local Media Pty Ltd",volumes : illustrations (some colour) ; 41 cm.,Newspapers,Australia--Victoria--Research | Australia--Victoria--Northcote | Australia--Victoria--Preston | Australia--Victoria--Reservoir | Australia--Victoria--Whittlesea,,,Australia--Victoria--Research,Research,,,,Research,RESEARCH,VIC,NILLUMBIK SHIRE,102605.0,RESEARCH,REGISTERED,LOCB,LOCALITY,145.1882398,-37.7057505,102591.0,1.0
9938781833607636,Local paper (Northern edition) | The local paper.,2020-,"Research, Vic : Local Media Pty Ltd",volumes : illustrations (some colour) ; 41 cm.,Newspapers,Australia--Victoria--Research | Australia--Victoria--Northcote | Australia--Victoria--Preston | Australia--Victoria--Reservoir | Australia--Victoria--Whittlesea,,,Australia--Victoria--Northcote,Northcote,,,,Northcote,NORTHCOTE,VIC,DAREBIN CITY,102381.0,Northcote,REGISTERED,LOCB,LOCALITY,144.9993878,-37.7722595,102367.0,1.0
9938781833607636,Local paper (Northern edition) | The local paper.,2020-,"Research, Vic : Local Media Pty Ltd",volumes : illustrations (some colour) ; 41 cm.,Newspapers,Australia--Victoria--Research | Australia--Victoria--Northcote | Australia--Victoria--Preston | Australia--Victoria--Reservoir | Australia--Victoria--Whittlesea,,,Australia--Victoria--Preston,Preston,,,,Preston,PRESTON,VIC,DAREBIN CITY,102556.0,PRESTON,REGISTERED,LOCB,LOCALITY,145.0090877,-37.7416369,102542.0,1.0
9938781833607636,Local paper (Northern edition) | The local paper.,2020-,"Research, Vic : Local Media Pty Ltd",volumes : illustrations (some colour) ; 41 cm.,Newspapers,Australia--Victoria--Research | Australia--Victoria--Northcote | Australia--Victoria--Preston | Australia--Victoria--Reservoir | Australia--Victoria--Whittlesea,,,Australia--Victoria--Reservoir,Reservoir,,,,Reservoir,RESERVOIR,VIC,DAREBIN CITY,102606.0,RESERVOIR,REGISTERED,LOCB,LOCALITY,145.0055801,-37.7123252,102592.0,1.0
9938781833607636,Local paper (Northern edition) | The local paper.,2020-,"Research, Vic : Local Media Pty Ltd",volumes : illustrations (some colour) ; 41 cm.,Newspapers,Australia--Victoria--Research | Australia--Victoria--Northcote | Australia--Victoria--Preston | Australia--Victoria--Reservoir | Australia--Victoria--Whittlesea,,,Australia--Victoria--Whittlesea,Whittlesea,,,,Whittlesea,WHITTLESEA,VIC,WHITTLESEA CITY,103320.0,Whittlesea,REGISTERED,LOCB,LOCALITY,145.1312627,-37.4615232,103306.0,1.0
9938582673607636,Ferntree Gully Belgrave star mail.,2020-,Healesville Vic. : Paul Thomas for the Star News Group Pty Ltd,volumes : colour illustrations ; 41 cm,Newspapers,Australia--Victoria--Belgrave | Australia--Victoria--Monbulk | Australia--Victoria--Tecoma | Australia--Victoria--Ferntree Gully | Australia--Victoria--Healesville,,,Australia--Victoria--Belgrave,Belgrave,,,,Belgrave,BELGRAVE,VIC,YARRA RANGES SHIRE,100327.0,BELGRAVE,REGISTERED,LOCB,LOCALITY,145.3558034,-37.912054,100313.0,1.0
9938582673607636,Ferntree Gully Belgrave star mail.,2020-,Healesville Vic. : Paul Thomas for the Star News Group Pty Ltd,volumes : colour illustrations ; 41 cm,Newspapers,Australia--Victoria--Belgrave | Australia--Victoria--Monbulk | Australia--Victoria--Tecoma | Australia--Victoria--Ferntree Gully | Australia--Victoria--Healesville,,,Australia--Victoria--Monbulk,Monbulk,,,,Monbulk,MONBULK,VIC,YARRA RANGES SHIRE,102105.0,MONBULK,REGISTERED,LOCB,LOCALITY,145.425235,-37.8750144,102091.0,1.0
9938582673607636,Ferntree Gully Belgrave star mail.,2020-,Healesville Vic. : Paul Thomas for the Star News Group Pty Ltd,volumes : colour illustrations ; 41 cm,Newspapers,Australia--Victoria--Belgrave | Australia--Victoria--Monbulk | Australia--Victoria--Tecoma | Australia--Victoria--Ferntree Gully | Australia--Victoria--Healesville,,,Australia--Victoria--Tecoma,Tecoma,,,,Tecoma,TECOMA,VIC,YARRA RANGES SHIRE,102973.0,TECOMA,REGISTERED,LOCB,LOCALITY,145.3418184,-37.9068224,102959.0,1.0
9938582673607636,Ferntree Gully Belgrave star mail.,2020-,Healesville Vic. : Paul Thomas for the Star News Group Pty Ltd,volumes : colour illustrations ; 41 cm,Newspapers,Australia--Victoria--Belgrave | Australia--Victoria--Monbulk | Australia--Victoria--Tecoma | Australia--Victoria--Ferntree Gully | Australia--Victoria--Healesville,,,Australia--Victoria--Ferntree Gully,Ferntree Gully,,,,Ferntree Gully,FERNTREE GULLY,VIC,KNOX CITY,101165.0,FERNTREE GULLY,REGISTERED,LOCB,LOCALITY,145.2820852,-37.8861615,101151.0,1.0
9938582673607636,Ferntree Gully Belgrave star mail.,2020-,Healesville Vic. : Paul Thomas for the Star News Group Pty Ltd,volumes : colour illustrations ; 41 cm,Newspapers,Australia--Victoria--Belgrave | Australia--Victoria--Monbulk | Australia--Victoria--Tecoma | Australia--Victoria--Ferntree Gully | Australia--Victoria--Healesville,,,Australia--Victoria--Healesville,Healesville,,,,Healesville,HEALESVILLE,VIC,YARRA RANGES SHIRE,101443.0,HEALESVILLE,REGISTERED,LOCB,LOCALITY,145.5458653,-37.6494272,101429.0,1.0
9937278313607636,Domain review (Stonnington & Boroondara) | Domain review.,2018-2024,"Melbourne, Vic. : Domain Group",volumes : colour illustrations ; 31 cm.,Newspapers,Australia--Victoria--Stonnington | Australia--Victoria--Boroondara | Australia--Victoria--Melbourne | Australia--Victoria--Camberwell | Australia--Victoria--Prahran,,,Australia--Victoria--Stonnington,Stonnington,Australia--Victoria--Stonnington,Stonnington City,,Stonnington City,STONNINGTON CITY,VIC,STONNINGTON CITY,25282.0,STONNINGTON CITY,REGISTERED,LGA,LOCAL GOVERNMENT AREA,145.0345892,-37.8573479,30494.0,2.0
9937278313607636,Domain review (Stonnington & Boroondara) | Domain review.,2018-2024,"Melbourne, Vic. : Domain Group",volumes : colour illustrations ; 31 cm.,Newspapers,Australia--Victoria--Stonnington | Australia--Victoria--Boroondara | Australia--Victoria--Melbourne | Australia--Victoria--Camberwell | Australia--Victoria--Prahran,,,Australia--Victoria--Boroondara,Boroondara,,,,Boroondara,BOROONDARA,VIC,BOROONDARA CITY,3045.0,BOROONDARA,REGISTERED,PRSH,PARISH OR HUNDRED,145.0676448,-37.8129035,11270.0,4.0
9937278313607636,Domain review (Stonnington & Boroondara) | Domain review.,2018-2024,"Melbourne, Vic. : Domain Group",volumes : colour illustrations ; 31 cm.,Newspapers,Australia--Victoria--Stonnington | Australia--Victoria--Boroondara | Australia--Victoria--Melbourne | Australia--Victoria--Camberwell | Australia--Victoria--Prahran,,,Australia--Victoria--Melbourne,Melbourne,,,,Melbourne,MELBOURNE,VIC,MELBOURNE CITY,102000.0,MELBOURNE,REGISTERED,LOCB,LOCALITY,144.9739942,-37.8242884,101986.0,1.0
9937278313607636,Domain review (Stonnington & Boroondara) | Domain review.,2018-2024,"Melbourne, Vic. : Domain Group",volumes : colour illustrations ; 31 cm.,Newspapers,Australia--Victoria--Stonnington | Australia--Victoria--Boroondara | Australia--Victoria--Melbourne | Australia--Victoria--Camberwell | Australia--Victoria--Prahran,,,Australia--Victoria--Camberwell,Camberwell,,,,Camberwell,CAMBERWELL,VIC,BOROONDARA CITY,100632.0,CAMBERWELL,REGISTERED,LOCB,LOCALITY,145.0729552,-37.8390545,100618.0,1.0
9937278313607636,Domain review (Stonnington & Boroondara) | Domain review.,2018-2024,"Melbourne, Vic. : Domain Group",volumes : colour illustrations ; 31 cm.,Newspapers,Australia--Victoria--Stonnington | Australia--Victoria--Boroondara | Australia--Victoria--Melbourne | Australia--Victoria--Camberwell | Australia--Victoria--Prahran,,,Australia--Victoria--Prahran,Prahran,,,,Prahran,PRAHRAN,VIC,STONNINGTON CITY,102553.0,PRAHRAN,REGISTERED,LOCB,LOCALITY,145.002358,-37.8515283,102539.0,1.0
9936418643607636,The Murchison advertiser.,1956-1962,Rushworth Victoria : Rushworth Printing Company,volumes : illustrations ; 44 cm,Newspapers,Australia--Victoria--Rushworth | Australia--Victoria--Murchison | Australia--Victoria--Waranga | Australia--Victoria--Goulburn | Australia--Victoria--Rodney,,,Australia--Victoria--Rushworth,Rushworth,,,,Rushworth,RUSHWORTH,VIC,CAMPASPE SHIRE,102671.0,Rushworth,REGISTERED,LOCB,LOCALITY,145.00058,-36.5941394,102657.0,1.0
9936418643607636,The Murchison advertiser.,1956-1962,Rushworth Victoria : Rushworth Printing Company,volumes : illustrations ; 44 cm,Newspapers,Australia--Victoria--Rushworth | Australia--Victoria--Murchison | Australia--Victoria--Waranga | Australia--Victoria--Goulburn | Australia--Victoria--Rodney,,,Australia--Victoria--Murchison,Murchison,,,,Murchison,MURCHISON,VIC,GREATER SHEPPARTON CITY,102225.0,Murchison,REGISTERED,LOCB,LOCALITY,145.1802658,-36.6229502,102211.0,1.0
9936418643607636,The Murchison advertiser.,1956-1962,Rushworth Victoria : Rushworth Printing Company,volumes : illustrations ; 44 cm,Newspapers,Australia--Victoria--Rushworth | Australia--Victoria--Murchison | Australia--Victoria--Waranga | Australia--Victoria--Goulburn | Australia--Victoria--Rodney,,,Australia--Victoria--Waranga,Waranga,,,,Waranga,WARANGA,VIC,GREATER SHEPPARTON CITY,103221.0,WARANGA,REGISTERED,LOCB,LOCALITY,145.06833,-36.491711,103207.0,1.0
9936418643607636,The Murchison advertiser.,1956-1962,Rushworth Victoria : Rushworth Printing Company,volumes : illustrations ; 44 cm,Newspapers,Australia--Victoria--Rushworth | Australia--Victoria--Murchison | Australia--Victoria--Waranga | Australia--Victoria--Goulburn | Australia--Victoria--Rodney,,,Australia--Victoria--Goulburn,Goulburn,,,,Goulburn,GOULBURN,VIC,MANSFIELD SHIRE,10536.0,GOULBURN,REGISTERED,PRSH,PARISH OR HUNDRED,146.249589,-37.5551258,16638.0,4.0
9936418643607636,The Murchison advertiser.,1956-1962,Rushworth Victoria : Rushworth Printing Company,volumes : illustrations ; 44 cm,Newspapers,Australia--Victoria--Rushworth | Australia--Victoria--Murchison | Australia--Victoria--Waranga | Australia--Victoria--Goulburn | Australia--Victoria--Rodney,,,Australia--Victoria--Rodney,Rodney,,,,Rodney,RODNEY,VIC,UNINCORPORATED,22870.0,RODNEY,REGISTERED,CNTY,COUNTY,145.00126,-36.498459,30405.0,3.0
9933486073607636,"Heidelberg news and Greensborough, Eltham and Diamond Creek chronicle (Online) | The Heidelberg news and Greensborough, Eltham and Diamond Creek chronicle.",1916-1918,Canberra National Library of Australia,1 online resource : illustrations.,Newspapers,Australia--Victoria--Heidelberg | Australia--Victoria--Greensborough | Australia--Victoria--Eltham | Australia--Victoria--Diamond Creek | Australia--Victoria--Ivanhoe,Online @ Trove - Digitised newspapers,http://nla.gov.au/nla.news-title325,Australia--Victoria--Heidelberg,Heidelberg,,,,Heidelberg,HEIDELBERG,VIC,BANYULE CITY,101454.0,HEIDELBERG,REGISTERED,LOCB,LOCALITY,145.0699463,-37.7513593,101440.0,1.0
9933486073607636,"Heidelberg news and Greensborough, Eltham and Diamond Creek chronicle (Online) | The Heidelberg news and Greensborough, Eltham and Diamond Creek chronicle.",1916-1918,Canberra National Library of Australia,1 online resource : illustrations.,Newspapers,Australia--Victoria--Heidelberg | Australia--Victoria--Greensborough | Australia--Victoria--Eltham | Australia--Victoria--Diamond Creek | Australia--Victoria--Ivanhoe,Online @ Trove - Digitised newspapers,http://nla.gov.au/nla.news-title325,Australia--Victoria--Greensborough,Greensborough,,,,Greensborough,GREENSBOROUGH,VIC,NILLUMBIK SHIRE,101382.0,GREENSBOROUGH,REGISTERED,LOCB,LOCALITY,145.110065,-37.6863117,101368.0,1.0
9933486073607636,"Heidelberg news and Greensborough, Eltham and Diamond Creek chronicle (Online) | The Heidelberg news and Greensborough, Eltham and Diamond Creek chronicle.",1916-1918,Canberra National Library of Australia,1 online resource : illustrations.,Newspapers,Australia--Victoria--Heidelberg | Australia--Victoria--Greensborough | Australia--Victoria--Eltham | Australia--Victoria--Diamond Creek | Australia--Victoria--Ivanhoe,Online @ Trove - Digitised newspapers,http://nla.gov.au/nla.news-title325,Australia--Victoria--Eltham,Eltham,,,,Eltham,ELTHAM,VIC,NILLUMBIK SHIRE,101103.0,Eltham,REGISTERED,LOCB,LOCALITY,145.1585393,-37.7152351,101089.0,1.0
9933486073607636,"Heidelberg news and Greensborough, Eltham and Diamond Creek chronicle (Online) | The Heidelberg news and Greensborough, Eltham and Diamond Creek chronicle.",1916-1918,Canberra National Library of Australia,1 online resource : illustrations.,Newspapers,Australia--Victoria--Heidelberg | Australia--Victoria--Greensborough | Australia--Victoria--Eltham | Australia--Victoria--Diamond Creek | Australia--Victoria--Ivanhoe,Online @ Trove - Digitised newspapers,http://nla.gov.au/nla.news-title325,Australia--Victoria--Diamond Creek,Diamond Creek,,,,Diamond Creek,DIAMOND CREEK,VIC,NILLUMBIK SHIRE,100971.0,DIAMOND CREEK,REGISTERED,LOCB,LOCALITY,145.157099,-37.6661297,100957.0,1.0
9933486073607636,"Heidelberg news and Greensborough, Eltham and Diamond Creek chronicle (Online) | The Heidelberg news and Greensborough, Eltham and Diamond Creek chronicle.",1916-1918,Canberra National Library of Australia,1 online resource : illustrations.,Newspapers,Australia--Victoria--Heidelberg | Australia--Victoria--Greensborough | Australia--Victoria--Eltham | Australia--Victoria--Diamond Creek | Australia--Victoria--Ivanhoe,Online @ Trove - Digitised newspapers,http://nla.gov.au/nla.news-title325,Australia--Victoria--Ivanhoe,Ivanhoe,,,,Ivanhoe,IVANHOE,VIC,BANYULE CITY,101548.0,IVANHOE,REGISTERED,LOCB,LOCALITY,145.0457508,-37.770356,101534.0,1.0
9933485523607636,"Romsey examiner (Online) | The Romsey examiner : and general advertiser for the shires of Romsey, Gisborne, Bulla, Springfield and Newham.",1914-1918,Canberra National Library of Australia,1 online resource : illustrations.,Newspapers,Australia--Victoria--Romsey | Australia--Victoria--Gisborne | Australia--Victoria--Bulla | Australia--Victoria--Springfield | Australia--Victoria--Newham,Online @ Trove - Digitised newspapers,http://nla.gov.au/nla.news-title768,Australia--Victoria--Romsey,Romsey,,,,Romsey,ROMSEY,VIC,MACEDON RANGES SHIRE,102646.0,Romsey,REGISTERED,LOCB,LOCALITY,144.7205608,-37.3549161,102632.0,1.0
9933485523607636,"Romsey examiner (Online) | The Romsey examiner : and general advertiser for the shires of Romsey, Gisborne, Bulla, Springfield and Newham.",1914-1918,Canberra National Library of Australia,1 online resource : illustrations.,Newspapers,Australia--Victoria--Romsey | Australia--Victoria--Gisborne | Australia--Victoria--Bulla | Australia--Victoria--Springfield | Australia--Victoria--Newham,Online @ Trove - Digitised newspapers,http://nla.gov.au/nla.news-title768,Australia--Victoria--Gisborne,Gisborne,,,,Gisborne,GISBORNE,VIC,MACEDON RANGES SHIRE,101256.0,Gisborne,REGISTERED,LOCB,LOCALITY,144.57149,-37.505492,101242.0,1.0
9933485523607636,"Romsey examiner (Online) | The Romsey examiner : and general advertiser for the shires of Romsey, Gisborne, Bulla, Springfield and Newham.",1914-1918,Canberra National Library of Australia,1 online resource : illustrations.,Newspapers,Australia--Victoria--Romsey | Australia--Victoria--Gisborne | Australia--Victoria--Bulla | Australia--Victoria--Springfield | Australia--Victoria--Newham,Online @ Trove - Digitised newspapers,http://nla.gov.au/nla.news-title768,Australia--Victoria--Bulla,Bulla,,,,Bulla,BULLA,VIC,HUME CITY,100548.0,BULLA,REGISTERED,LOCB,LOCALITY,144.7981715,-37.6297059,100534.0,1.0
9933485523607636,"Romsey examiner (Online) | The Romsey examiner : and general advertiser for the shires of Romsey, Gisborne, Bulla, Springfield and Newham.",1914-1918,Canberra National Library of Australia,1 online resource : illustrations.,Newspapers,Australia--Victoria--Romsey | Australia--Victoria--Gisborne | Australia--Victoria--Bulla | Australia--Victoria--Springfield | Australia--Victoria--Newham,Online @ Trove - Digitised newspapers,http://nla.gov.au/nla.news-title768,Australia--Victoria--Springfield,Springfield,,,,Springfield,SPRINGFIELD,VIC,MACEDON RANGES SHIRE,102798.0,SPRINGFIELD,REGISTERED,LOCB,LOCALITY,144.8170961,-37.329928,102784.0,1.0
9933485523607636,"Romsey examiner (Online) | The Romsey examiner : and general advertiser for the shires of Romsey, Gisborne, Bulla, Springfield and Newham.",1914-1918,Canberra National Library of Australia,1 online resource : illustrations.,Newspapers,Australia--Victoria--Romsey | Australia--Victoria--Gisborne | Australia--Victoria--Bulla | Australia--Victoria--Springfield | Australia--Victoria--Newham,Online @ Trove - Digitised newspapers,http://nla.gov.au/nla.news-title768,Australia--Victoria--Newham,Newham,,,,Newham,NEWHAM,VIC,MACEDON RANGES SHIRE,102333.0,NEWHAM,REGISTERED,LOCB,LOCALITY,144.6116766,-37.297724,102319.0,1.0
9933485303607636,"Nathalia herald and Picola, Narioka, Kotupna and Moira advertiser (Online) | The Nathalia herald and Picola, Narioka, Kotupna and Moira advertiser.",1914-1918,Canberra National Library of Australia,1 online resource : illustrations.,Newspapers,Australia--Victoria--Nathalia | Australia--Victoria--Picola | Australia--Victoria--Narioka | Australia--Victoria--Kotupna | Australia--Victoria--Moira,Online @ Trove - Digitised newspapers,http://nla.gov.au/nla.news-title587,Australia--Victoria--Nathalia,Nathalia,,,,Nathalia,NATHALIA,VIC,MOIRA SHIRE,102300.0,NATHALIA,REGISTERED,LOCB,LOCALITY,145.189931,-36.060546,102286.0,1.0
9933485303607636,"Nathalia herald and Picola, Narioka, Kotupna and Moira advertiser (Online) | The Nathalia herald and Picola, Narioka, Kotupna and Moira advertiser.",1914-1918,Canberra National Library of Australia,1 online resource : illustrations.,Newspapers,Australia--Victoria--Nathalia | Australia--Victoria--Picola | Australia--Victoria--Narioka | Australia--Victoria--Kotupna | Australia--Victoria--Moira,Online @ Trove - Digitised newspapers,http://nla.gov.au/nla.news-title587,Australia--Victoria--Picola,Picola,,,,Picola,PICOLA,VIC,MOIRA SHIRE,102492.0,PICOLA,REGISTERED,LOCB,LOCALITY,145.100891,-35.9604793,102478.0,1.0
9933485303607636,"Nathalia herald and Picola, Narioka, Kotupna and Moira advertiser (Online) | The Nathalia herald and Picola, Narioka, Kotupna and Moira advertiser.",1914-1918,Canberra National Library of Australia,1 online resource : illustrations.,Newspapers,Australia--Victoria--Nathalia | Australia--Victoria--Picola | Australia--Victoria--Narioka | Australia--Victoria--Kotupna | Australia--Victoria--Moira,Online @ Trove - Digitised newspapers,http://nla.gov.au/nla.news-title587,Australia--Victoria--Narioka,Narioka,,,,Narioka,NARIOKA,VIC,MOIRA SHIRE,19370.0,NARIOKA,REGISTERED,PRSH,PARISH OR HUNDRED,145.08626,-36.0476257,22234.0,4.0
9933485303607636,"Nathalia herald and Picola, Narioka, Kotupna and Moira advertiser (Online) | The Nathalia herald and Picola, Narioka, Kotupna and Moira advertiser.",1914-1918,Canberra National Library of Australia,1 online resource : illustrations.,Newspapers,Australia--Victoria--Nathalia | Australia--Victoria--Picola | Australia--Victoria--Narioka | Australia--Victoria--Kotupna | Australia--Victoria--Moira,Online @ Trove - Digitised newspapers,http://nla.gov.au/nla.news-title587,Australia--Victoria--Kotupna,Kotupna,,,,Kotupna,KOTUPNA,VIC,MOIRA SHIRE,101723.0,KOTUPNA,REGISTERED,LOCB,LOCALITY,145.1156775,-36.1337573,101709.0,1.0
9933485303607636,"Nathalia herald and Picola, Narioka, Kotupna and Moira advertiser (Online) | The Nathalia herald and Picola, Narioka, Kotupna and Moira advertiser.",1914-1918,Canberra National Library of Australia,1 online resource : illustrations.,Newspapers,Australia--Victoria--Nathalia | Australia--Victoria--Picola | Australia--Victoria--Narioka | Australia--Victoria--Kotupna | Australia--Victoria--Moira,Online @ Trove - Digitised newspapers,http://nla.gov.au/nla.news-title587,Australia--Victoria--Moira,Moira,,,,Moira,MOIRA,VIC,UNINCORPORATED,17314.0,MOIRA,REGISTERED,CNTY,COUNTY,145.6679227,-36.4151258,30400.0,3.0
9933484383607636,Colac herald (Online) | Colac herald.,1866-,Canberra National Library of Australia,1 online resource : illustrations.,Newspapers,Australia--Victoria--Colac | Australia--Victoria--Ondit | Australia--Victoria--Camperdown | Australia--Victoria--Winchelsea | Australia--Victoria--Birregurra,Online @ Trove - Digitised newspapers,http://nla.gov.au/nla.news-title241,Australia--Victoria--Colac,Colac,,,,Colac,COLAC,VIC,COLAC OTWAY SHIRE,100803.0,COLAC,REGISTERED,LOCB,LOCALITY,143.588959,-38.3096064,100789.0,1.0
