alma_id,title,date,publisher,format,genre,lds03,placename,place_id,feature_type_code,longitude,latitude,trove_note,trove_url,id
9910308043607636,"Age (Melbourne, Vic. : Victorian ed.) | The Age.",2000-2000,Melbourne : Age Co. Ltd.,v. : ill. ; 60 cm.,Newspapers,Australia--Victoria | Australia--Victoria--Melbourne,Victoria,,,,,,,a9910308043607636
9910308043607636,"Age (Melbourne, Vic. : Victorian ed.) | The Age.",2000-2000,Melbourne : Age Co. Ltd.,v. : ill. ; 60 cm.,Newspapers,Australia--Victoria | Australia--Victoria--Melbourne,Melbourne,102000.0,LOCB,144.9739942,-37.8242884,,,a9910308043607636
9910167223607636,The Victorian banner : a weekly journal of religion and politics.,1882-1884,Melbourne : W. Mortimer,v. : ill. ; 45 cm.,Newspapers,Australia--Victoria | Australia--Victoria--Melbourne,Victoria,,,,,,,a9910167223607636
9910167223607636,The Victorian banner : a weekly journal of religion and politics.,1882-1884,Melbourne : W. Mortimer,v. : ill. ; 45 cm.,Newspapers,Australia--Victoria | Australia--Victoria--Melbourne,Melbourne,102000.0,LOCB,144.9739942,-37.8242884,,,a9910167223607636
9910140853607636,"Countryman (Melbourne, Vic.) | The countryman.",1924-1976,Melbourne : Countryman Newspaper Co.,v. : ill. ; 52 cm.,,Australia--Victoria | Australia--Victoria--Melbourne,Victoria,,,,,,http://nla.gov.au/nla.news-title895,a9910140853607636
9910140853607636,"Countryman (Melbourne, Vic.) | The countryman.",1924-1976,Melbourne : Countryman Newspaper Co.,v. : ill. ; 52 cm.,,Australia--Victoria | Australia--Victoria--Melbourne,Melbourne,102000.0,LOCB,144.9739942,-37.8242884,,http://nla.gov.au/nla.news-title895,a9910140853607636
9910140833607636,"Farmers' advocate (Melbourne, Vic.) | The farmers' advocate : official organ of the Victorian Farmers Union.",1917-1924,Melbourne : N.D. Ferguson,v.,,Australia--Victoria | Australia--Victoria--Melbourne,Victoria,,,,,,http://nla.gov.au/nla.news-title894,a9910140833607636
9910140833607636,"Farmers' advocate (Melbourne, Vic.) | The farmers' advocate : official organ of the Victorian Farmers Union.",1917-1924,Melbourne : N.D. Ferguson,v.,,Australia--Victoria | Australia--Victoria--Melbourne,Melbourne,102000.0,LOCB,144.9739942,-37.8242884,,http://nla.gov.au/nla.news-title894,a9910140833607636
9910136023607636,The war cry for the colony of Victoria.,1885-1889,Melbourne : Salvation Army,v.,,Australia--Victoria | Australia--Victoria--Melbourne,Victoria,,,,,,,a9910136023607636
9910136023607636,The war cry for the colony of Victoria.,1885-1889,Melbourne : Salvation Army,v.,,Australia--Victoria | Australia--Victoria--Melbourne,Melbourne,102000.0,LOCB,144.9739942,-37.8242884,,,a9910136023607636
9940656140907636,Lilydale Star Mail.,2021-,Healesville Vic. : Paul Thomas for Star News Group Pty Ltd,"1 online resource : colour illustrations, colour portraits | text file PDF",Newspapers,Australia--Victoria--Healesville | Australia--Victoria--Lilydale | Australia--Victoria--Mooroolbark | Australia--Victoria--Kilsyth | Australia--Victoria--Chirnside Park,Healesville,101443.0,LOCB,145.5458653,-37.6494272,National edeposit: Onsite at State Library Victoria,https://nla.gov.au/nla.obj-3197996265,a9940656140907636
9940656140907636,Lilydale Star Mail.,2021-,Healesville Vic. : Paul Thomas for Star News Group Pty Ltd,"1 online resource : colour illustrations, colour portraits | text file PDF",Newspapers,Australia--Victoria--Healesville | Australia--Victoria--Lilydale | Australia--Victoria--Mooroolbark | Australia--Victoria--Kilsyth | Australia--Victoria--Chirnside Park,Lilydale,101843.0,LOCB,145.3619186,-37.7549528,National edeposit: Onsite at State Library Victoria,https://nla.gov.au/nla.obj-3197996265,a9940656140907636
9940656140907636,Lilydale Star Mail.,2021-,Healesville Vic. : Paul Thomas for Star News Group Pty Ltd,"1 online resource : colour illustrations, colour portraits | text file PDF",Newspapers,Australia--Victoria--Healesville | Australia--Victoria--Lilydale | Australia--Victoria--Mooroolbark | Australia--Victoria--Kilsyth | Australia--Victoria--Chirnside Park,Mooroolbark,102137.0,LOCB,145.3253754,-37.7805574,National edeposit: Onsite at State Library Victoria,https://nla.gov.au/nla.obj-3197996265,a9940656140907636
9940656140907636,Lilydale Star Mail.,2021-,Healesville Vic. : Paul Thomas for Star News Group Pty Ltd,"1 online resource : colour illustrations, colour portraits | text file PDF",Newspapers,Australia--Victoria--Healesville | Australia--Victoria--Lilydale | Australia--Victoria--Mooroolbark | Australia--Victoria--Kilsyth | Australia--Victoria--Chirnside Park,Kilsyth,101669.0,LOCB,145.3182745,-37.8120481,National edeposit: Onsite at State Library Victoria,https://nla.gov.au/nla.obj-3197996265,a9940656140907636
9940656140907636,Lilydale Star Mail.,2021-,Healesville Vic. : Paul Thomas for Star News Group Pty Ltd,"1 online resource : colour illustrations, colour portraits | text file PDF",Newspapers,Australia--Victoria--Healesville | Australia--Victoria--Lilydale | Australia--Victoria--Mooroolbark | Australia--Victoria--Kilsyth | Australia--Victoria--Chirnside Park,Chirnside Park,100747.0,LOCB,145.314844,-37.7397774,National edeposit: Onsite at State Library Victoria,https://nla.gov.au/nla.obj-3197996265,a9940656140907636
9938781833607636,Local paper (Northern edition) | The local paper.,2020-,"Research, Vic : Local Media Pty Ltd",volumes : illustrations (some colour) ; 41 cm.,Newspapers,Australia--Victoria--Research | Australia--Victoria--Northcote | Australia--Victoria--Preston | Australia--Victoria--Reservoir | Australia--Victoria--Whittlesea,Research,102605.0,LOCB,145.1882398,-37.7057505,,,a9938781833607636
9938781833607636,Local paper (Northern edition) | The local paper.,2020-,"Research, Vic : Local Media Pty Ltd",volumes : illustrations (some colour) ; 41 cm.,Newspapers,Australia--Victoria--Research | Australia--Victoria--Northcote | Australia--Victoria--Preston | Australia--Victoria--Reservoir | Australia--Victoria--Whittlesea,Northcote,102381.0,LOCB,144.9993878,-37.7722595,,,a9938781833607636
9938781833607636,Local paper (Northern edition) | The local paper.,2020-,"Research, Vic : Local Media Pty Ltd",volumes : illustrations (some colour) ; 41 cm.,Newspapers,Australia--Victoria--Research | Australia--Victoria--Northcote | Australia--Victoria--Preston | Australia--Victoria--Reservoir | Australia--Victoria--Whittlesea,Preston,102556.0,LOCB,145.0090877,-37.7416369,,,a9938781833607636
9938781833607636,Local paper (Northern edition) | The local paper.,2020-,"Research, Vic : Local Media Pty Ltd",volumes : illustrations (some colour) ; 41 cm.,Newspapers,Australia--Victoria--Research | Australia--Victoria--Northcote | Australia--Victoria--Preston | Australia--Victoria--Reservoir | Australia--Victoria--Whittlesea,Reservoir,102606.0,LOCB,145.0055801,-37.7123252,,,a9938781833607636
9938781833607636,Local paper (Northern edition) | The local paper.,2020-,"Research, Vic : Local Media Pty Ltd",volumes : illustrations (some colour) ; 41 cm.,Newspapers,Australia--Victoria--Research | Australia--Victoria--Northcote | Australia--Victoria--Preston | Australia--Victoria--Reservoir | Australia--Victoria--Whittlesea,Whittlesea,103320.0,LOCB,145.1312627,-37.4615232,,,a9938781833607636
