mms,title,lds19,publisher,format,genre,lds03,trove_note,trove_url,
9920457213607636,"Healesville guardian (Lilydale, Vic.) | Healesville guardian.",1942-1964,"Healesville, Vic. : R.M.T. Hodges",v. ; 46 cm.,Newspapers,Australia--Victoria--Healesville | Australia--Victoria--Lilydale,,http://nla.gov.au/nla.news-title144,Y
9920457103607636,The Healesville guardian and Yarra Glen guardian.,1898-1900,Healesville Vic. : A.F. Buckley,v.,Newspapers,Australia--Victoria--Healesville | Australia--Victoria--Yarra Glen,,http://nla.gov.au/nla.news-title142,Y
9920457073607636,The Healesville guardian and Yarra Glen advocate.,1898-1898,Healesville Vic. : A.F. Buckley,v.,Newspapers,Australia--Victoria--Healesville | Australia--Victoria--Yarra Glen,,http://nla.gov.au/nla.news-title141,Y
9910768743607636,The Ararat chronicle and Willaura and Lake Bolac districts recorder [microform],1909-1925,"Ararat, Vic. : F.J. Murphy, 1909-",v. ; 66 cm.,Newspapers,Australia--Victoria--Ararat | Australia--Victoria--Willaura,,http://nla.gov.au/nla.news-title754,Y
9910436093607636,"The Tarrangower times and Maldon, Newstead, Baringhup, Laancoorie and Muckleford advertiser [microform].",1873-1894,"Maldon, Vic. : Howlipton, Tate & Co. ",v.,Newspapers,Australia--Victoria--Maldon | Australia--Victoria--Tarrangower,,http://nla.gov.au/nla.news-title1770,Y
9910436083607636,The Tarrangower times and Maldon district advertiser [microform].,1858-1862,"Maldon, Vic. : Wright & Ralston",v.,Newspapers,Australia--Victoria--Maldon | Australia--Victoria--Tarrangower,,http://nla.gov.au/nla.news-title1768,Y
9910436073607636,The Tarrangower times and Maldon and Newstead advertiser [microform].,1862-1873,"Maldon Vic. : Howlipton, Tate & Co. ",v.,Newspapers,Australia--Victoria--Maldon | Australia--Victoria--Tarrangower,,http://nla.gov.au/nla.news-title1769,Y
9910435993607636,Brimbank leader.,2001-2016,"Northcote, Vic. : Leader Community Newspapers",v. ; 41 cm.,Newspapers,Australia--Victoria--Northcote | Australia--Victoria--Brimbank,,http://nla.gov.au/nla.news-title1769,Y
9910425383607636,"Live wire (Yallourn, Vic.) | Live wire.",1925-1967,"Yallourn, Vic. : State Electricity Commission of Victoria General Store",v. : ill.,,Australia--Victoria--Yallourn | Australia--Victoria--Morwell,,http://nla.gov.au/nla.news-title1820,Y
9910424713607636,The Tarrangower times and Maldon advertiser [microform].,1894-1951,"Maldon, Vic. : J. Gaynor",v.,Newspapers,Australia--Victoria--Maldon | Australia--Victoria--Tarrangower,,http://nla.gov.au/nla.news-title1771,Y
9910397003607636,"Live wire (Yallourn, Vic.) | Live wire [microform].",1925-1962,"Yallourn, Vic. : State Electricity Commission of Victoria General Store",v. : ill.,Newspapers,Australia--Victoria--Yallourn | Australia--Victoria--Morwell,,http://nla.gov.au/nla.news-title1820,Y
9910380023607636,The Mount Ararat advertiser and chronicle for the district of the Wimmera.,1857-1861,"Ararat, Vic. : E.H. Nuthall and J.W. Banfield",397 v. ; 61 cm.,Newspapers,Australia--Victoria--Ararat | Australia--Victoria--Wimmera,,http://nla.gov.au/nla.news-title1884,Y
9910346873607636,Woodend star and Macedon advocate.,1942-1970,Woodend Vic. : V.G. Wilson,v.,Newspapers,Australia--Victoria--Macedon | Australia--Victoria--Woodend,,http://nla.gov.au/nla.news-title1839,Y
9910346863607636,Woodend star and Macedon advocate [microform].,1942-1970,Woodend Vic. : V.G. Wilson,v.,Newspapers,Australia--Victoria--Macedon | Australia--Victoria--Woodend,,http://nla.gov.au/nla.news-title1839,Y
9910345833607636,The Corryong courier and Walwa district news [microform].,1946-1960,"Corryong, Vic. : W. McClure",v. : ill. ; 44-67 cm.,Newspapers,Australia--Victoria--Corryong | Australia--Victoria--Walwa,,http://nla.gov.au/nla.news-title1831,Y
9910256593607636,The Tatura guardian.,1894-1938,"Tatura, Rodney County, Victoria : Edward Hanley",volumes : 57 cm,Newspapers,Australia--Victoria--Tatura | Australia--Victoria--Rodney,,http://nla.gov.au/nla.news-title1512,Y
9910256293607636,The Skipton standard and Streatham gazette.,1914-1954,"Skipton, Victoria : W.N. Sturgeon",volumes ; 48-62 cm,Newspapers,Australia--Victoria--Skipton | Australia--Victoria--Streatham,,http://nla.gov.au/nla.news-title1511,Y
9910252583607636,The Goulburn Valley stock and property journal.,1910-1963,"Shepparton, Vic. : Horan and Simpson",volumes : 41-67 cm,Newspapers | Periodicals,Australia--Victoria--Shepparton | Australia--Victoria--Goulburn Valley,,http://nla.gov.au/nla.news-title1133,Y
9910249693607636,"Camberwell free press (Camberwell, Vic. : 1927) | Camberwell free press.",1927-1968,"Melbourne, Vic. : David Syme & Co.",volumes : 43-57 cm,Newspapers,Australia--Victoria--Camberwell | Australia--Victoria--Melbourne,,http://nla.gov.au/nla.news-title1935,Y
9910244543607636,Narracan Shire advocate (1944) | Narracan Shire advocate [microform],1944-1955,"Moe, Vic. : D.H.V. Bennett",v.,,Australia--Victoria--Narracan | Australia--Victoria--Moe,,http://nla.gov.au/nla.news-title1821,Y
9910244523607636,Narracan Shire advocate (1944) | The Narracan Shire advocate.,1944-1955,"Moe, Vic. : D.H.V. Bennett, 1944-1955.",v.,,Australia--Victoria--Narracan | Australia--Victoria--Moe,,http://nla.gov.au/nla.news-title1821,Y
9910244213607636,"Advertiser (Hurstbridge, Vic.) | The advertiser [microform].",1922-1939,"Hurstbridge, Vic. : G.P. Armstrong",v. ; 62 cm.,,Australia--Victoria--Hurstbridge | Australia--Victoria--Eltham,,http://nla.gov.au/nla.news-title148,Y
9910244093607636,The Eltham and Whittlesea Shires advertiser [microform].,1940-1942,"Whittlesea, Vic.? : Leader Pub. Co. Pty. Ltd.",v. ; 48 cm.,,Australia--Victoria--Eltham | Australia--Victoria--Whittlesea,,http://nla.gov.au/nla.news-title149,Y
9910229573607636,The Eltham and Whittlesea Shires advertiser.,1940-1942,"Whittlesea, Vic.? : Leader Pub. Co. Pty. Ltd.",v. ; 48 cm.,Newspapers,Australia--Victoria--Eltham | Australia--Victoria--Whittlesea,,http://nla.gov.au/nla.news-title149,Y
9910228193607636,The Tarrangower times and Maldon district advertiser.,1858-1862,"Maldon, Vic. : Wright and Ralston",v. ; 60-67 cm,Newspapers,Australia--Victoria--Maldon | Australia--Victoria--Tarrangower,,http://nla.gov.au/nla.news-title1768,Y
9910176213607636,Mildura irrigationist and Murray River cultural advocate (1895) | The Mildura irrigationist and Murray River cultural advocate.,1895-1896,"Mildura, Vic. : The Irrigationist",v.,,Australia--Victoria--Mildura | Australia--Victoria--Murray Valley,,http://nla.gov.au/nla.news-title1584,Y
9910135223607636,Nagambie herald and Goulburn Valley advertiser [microform],18uu-1873,"Nagambie, Vic. : T.W. Shervill",v. ; 63 cm.,,Australia--Victoria--Nagambie | Australia--Victoria--Goulburn Valley,,http://nla.gov.au/nla.news-title1766,Y
9910119143607636,South Bourke standard.,1861-1873,Hawthorn Vic. : Slatterie & Co.,v. ; 51 cm,Newspapers,Australia--Victoria--Bourke | Australia--Victoria--Hawthorn,,http://nla.gov.au/nla.news-title150,Y
9910071743607636,Myrtleford times and Ovens Valley advertiser (1930) | The Myrtleford times and Ovens Valley advertiser [microform].,1930-1987,"Myrtleford, Vic. : Myrtleford Times and Ovens Valley Advertiser",v. ; 52 cm.,,Australia--Victoria--Myrtleford | Australia--Victoria--Ovens Valley,,http://nla.gov.au/nla.news-title1828,Y
9910067183607636,Bairnsdale advertiser and East Gippsland stock and station journal [microform].,1946-1994,"Bairnsdale, Vic. : Fawkner Cameron Yeates for James Yeates and Sons Pty. Ltd.",v. : ill. ; 56 cm.,Newspapers,Australia--Victoria--East Gippsland | Australia--Victoria--Bairnsdale,,http://nla.gov.au/nla.news-title1832,Y
9910047703607636,Gippsland times (1861) | Gippsland times.,1861-1981,Sale Vic. : J.J. Hart.,v. ; 57-66 cm.,Newspapers,Australia--Victoria--Gippsland | Australia--Victoria--Sale,,http://nla.gov.au/nla.news-title108,Y
9910041493607636,Nagambie herald and Goulburn Valley advertiser.,18uu-1873,"Nagambie, Vic. : T.W. Shevill.",v. ; 63 cm.,,Australia--Victoria--Nagambie | Australia--Victoria--Goulburn Valley,,http://nla.gov.au/nla.news-title1766,Y
9910000873607636,Coburg and Moreland courier [microform].,1932-1932,Moreland Vic. : Challenge Press Pty. Ltd.,v.,,Australia--Victoria--Coburg | Australia--Victoria--Moreland,,http://nla.gov.au/nla.news-title1933,Y
999998123607636,Coburg and Moreland courier.,1932-1932,Moreland Vic. : Challenge Press Pty. Ltd.,v. ; 55 cm,Newspapers,Australia--Victoria--Coburg | Australia--Victoria--Moreland,,http://nla.gov.au/nla.news-title1933,Y
999977013607636,"Alexandra and Yea standard, Thornton, Gobur and Acheron express.",1877-1877,"Alexandra, Vic. : J.J. Hamilton McColl",1 v.,,Australia--Victoria--Alexandra | Australia--Victoria--Yea,,http://nla.gov.au/nla.news-title154,Y
999976753607636,"Alexandra and Yea standard, Thornton, Gobur and Acheron express [microform].",1877-1877,"Alexandra, Vic. : J.J. Hamilton McColl",1 v.,Newspapers,Australia--Victoria--Alexandra | Australia--Victoria--Yea,,http://nla.gov.au/nla.news-title154,Y
999956283607636,Ultima and Chillingollah star.,1913-1951,"Ultima, Vic. : Ultima and Chillingollah Star",v.,Newspapers,Australia--Victoria--Ultima | Australia--Victoria--Chillingollah,,http://nla.gov.au/nla.news-title615,Y
